time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 14:40:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,19.53,170.56,NULL,NULL,NULL,NULL,16625.0,NULL,1.0
2022-11-09 14:40:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11-09 14:40:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,21.53,169.67,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 02:40:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132248.9,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:40:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,120.87,613.4,NULL,NULL,NULL,NULL,28211.0,42,1.0
2022-11-09 14:40:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,112.54,583.1,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 14:40:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,187.47,675.1,NULL,NULL,NULL,NULL,17878.0,42,1.0
2022-11-09 14:40:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,128.87,681.3,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:35:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,96.41,672.0,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:35:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,88.62,666.2,NULL,NULL,NULL,NULL,17878.0,42,1.0
2022-11-09 14:35:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,105.34,574.4,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 02:35:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132211.7,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:35:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,111.71,604.7,NULL,NULL,NULL,NULL,28211.0,42,1.0
2022-11-09 14:35:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,36.6,167.75,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,34.66,173.36,NULL,NULL,NULL,NULL,15786.0,NULL,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,40.29,169.57,NULL,NULL,NULL,NULL,16618.0,NULL,1.0
2022-11-09 14:35:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,98.78,674.7,NULL,NULL,NULL,NULL,18379.0,42,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,30.71,167.2,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 14:35:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,596.4,NULL,NULL,NULL,NULL,28298.0,18,1.0
2022-11-09 14:35:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,107.88,586.3,NULL,NULL,NULL,NULL,28305.0,42,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,32.82,168.77,NULL,NULL,NULL,NULL,16608.0,NULL,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,32.3,171.9,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,37.53,169.54,NULL,NULL,NULL,NULL,16581.0,NULL,1.0
2022-11-09 14:35:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208583.0,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:35:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,37.65,165.49,NULL,NULL,NULL,NULL,2571.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,22,inversor1,NULL,NULL,NULL,67.98,161.11,NULL,NULL,NULL,NULL,2571.0,NULL,1.0
2022-11-09 14:30:00+01,6,Florida,SomEnergia_La_Florida,21,inversor2,NULL,NULL,NULL,0.0,4208563.6,NULL,NULL,NULL,NULL,13400.0,60,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,26,inversor5,NULL,NULL,NULL,71.07,166.02,NULL,NULL,NULL,NULL,16581.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,27,inversor6,NULL,NULL,NULL,74.85,165.55,NULL,NULL,NULL,NULL,16608.0,NULL,1.0
